id,sku,name,category,is_active,created_at,updated_at
c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,SKU-1000,Industrial Pump M00,industrial_pump,true,2025-01-02 09:16:54+00,2025-01-02 09:16:54+00
dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,SKU-1001,Controller M01,controller,true,2025-01-02 09:19:25+00,2025-01-02 09:19:25+00
5abd18e8-de32-5af1-b593-d3190e9164a5,SKU-1002,Actuator M02,actuator,true,2025-01-02 09:13:22+00,2025-01-02 09:13:22+00
98f9ed1d-3d10-5a68-a387-66981e9dde59,SKU-1003,Sensor Array M03,sensor_array,true,2025-01-02 09:19:26+00,2025-01-02 09:19:26+00
b8b98483-157a-5ddb-81bf-f65f95613caa,SKU-1004,Drive Unit M04,drive_unit,true,2025-01-02 09:19:30+00,2025-01-02 09:19:30+00
ebdcc5e9-63c3-5a52-9521-f031c6154feb,SKU-1005,Valve System M05,valve_system,true,2025-01-02 09:20:42+00,2025-01-02 09:20:42+00
6e22d3ea-9fc0-56fa-a367-352e633df40c,SKU-1006,Industrial Pump M06,industrial_pump,true,2025-01-02 09:19:19+00,2025-01-02 09:19:19+00
0f7722fa-332a-5a19-922d-1d9cab8dda65,SKU-1007,Controller M07,controller,true,2025-01-02 09:07:25+00,2025-01-02 09:07:25+00
e3a10959-a74e-5cdd-bd80-3c24836fb062,SKU-1008,Actuator M08,actuator,true,2025-01-02 09:22:47+00,2025-01-02 09:22:47+00
6852d7e8-9827-5aa7-a439-140e7dac645a,SKU-1009,Sensor Array M09,sensor_array,true,2025-01-02 09:17:54+00,2025-01-02 09:17:54+00
5b72fcba-23c2-5ea7-9dc2-b32eca367733,SKU-1010,Drive Unit M10,drive_unit,true,2025-01-02 09:03:41+00,2025-01-02 09:03:41+00
c914dcac-18fe-5928-87c0-80e93bb776c2,SKU-1011,Valve System M11,valve_system,true,2025-01-02 09:19:26+00,2025-01-02 09:19:26+00
d6481438-ce10-5e85-8b0a-fbc48dcd19e7,SKU-1012,Industrial Pump M12,industrial_pump,true,2025-01-02 09:22:03+00,2025-01-02 09:22:03+00
015ee94d-a0dc-5a3a-96b4-4318093cd0c8,SKU-1013,Controller M13,controller,true,2025-01-02 09:04:12+00,2025-01-02 09:04:12+00
a4acb526-e0ea-590e-9293-ff9e90059c15,SKU-1014,Actuator M14,actuator,true,2025-01-02 09:21:25+00,2025-01-02 09:21:25+00
3ba63656-6a91-5254-8fd9-1b6d20dced02,SKU-1015,Sensor Array M15,sensor_array,true,2025-01-02 09:19:23+00,2025-01-02 09:19:23+00
3f7c929e-b070-5624-afcb-413255a3e8b7,SKU-1016,Drive Unit M16,drive_unit,true,2025-01-02 09:09:54+00,2025-01-02 09:09:54+00
fc7fc417-cce4-5f70-a6f1-8ce7a0edf5e9,SKU-1017,Valve System M17,valve_system,true,2025-01-02 09:19:10+00,2025-01-02 09:19:10+00
87bd34d0-75d8-568d-abd0-77f535fdb719,SKU-1018,Industrial Pump M18,industrial_pump,true,2025-01-02 09:27:55+00,2025-01-02 09:27:55+00
12d2e257-18af-5ea5-9b8e-109e869b4b9e,SKU-1019,Controller M19,controller,true,2025-01-02 09:23:16+00,2025-01-02 09:23:16+00
7139ebf2-1aff-593d-9366-22949a04fd61,SKU-1020,Actuator M20,actuator,true,2025-01-02 09:15:42+00,2025-01-02 09:15:42+00
48b59f70-e096-547d-97be-0afd9e0ef1f4,SKU-1021,Sensor Array M21,sensor_array,true,2025-01-02 09:09:18+00,2025-01-02 09:09:18+00
c7c80e8e-2456-5c4b-97cb-5d6b8aea9e11,SKU-1022,Drive Unit M22,drive_unit,true,2025-01-02 09:13:16+00,2025-01-02 09:13:16+00
8243c793-3801-5a72-86e5-9ab29d8d498d,SKU-1023,Valve System M23,valve_system,true,2025-01-02 09:04:01+00,2025-01-02 09:04:01+00
5e2cc5fc-7d5b-5bba-ad99-4412ab325860,SKU-1024,Industrial Pump M24,industrial_pump,true,2025-01-02 09:05:54+00,2025-01-02 09:05:54+00
ce143825-d54b-50ec-92fe-c61fdb5ae610,SKU-1025,Controller M25,controller,true,2025-01-02 09:08:00+00,2025-01-02 09:08:00+00
22326882-02d4-5cec-806a-1e1016a55411,SKU-1026,Actuator M26,actuator,true,2025-01-02 09:22:30+00,2025-01-02 09:22:30+00
5f832cdc-1407-55fc-8fd5-76ca28247722,SKU-1027,Sensor Array M27,sensor_array,true,2025-01-02 09:02:50+00,2025-01-02 09:02:50+00
f3d43083-cf37-52fb-bc02-bff47203b7c9,SKU-1028,Drive Unit M28,drive_unit,true,2025-01-02 09:20:25+00,2025-01-02 09:20:25+00
d02cf696-fbfe-56b7-8ff3-89608483ee25,SKU-1029,Valve System M29,valve_system,true,2025-01-02 09:23:45+00,2025-01-02 09:23:45+00
8191a9f6-2263-53f2-a6a6-4c31e81e996e,SKU-1030,Industrial Pump M30,industrial_pump,true,2025-01-02 09:22:36+00,2025-01-02 09:22:36+00
9b88c78b-34e7-51c0-8f51-940e61379648,SKU-1031,Controller M31,controller,true,2025-01-02 09:00:17+00,2025-01-02 09:00:17+00
d6e9c7be-33cb-5851-ab77-08e587828108,SKU-1032,Actuator M32,actuator,true,2025-01-02 09:01:13+00,2025-01-02 09:01:13+00
