id,t0,horizon_days,node_counts,edge_counts,label_counts,feature_spec_version,git_commit,construction_seconds,created_at
cf849c78-db2c-52d2-94b9-b287fa74f1d4,2024-07-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 6302, ""shipment"": 9760}","{""SUPPLIES"": 2400, ""USED_IN"": 7084, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 26, ""shortage_pos"": 132, ""impact_pos"": 13}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,32.85,2025-10-02 09:20:26+00
723e7b6d-deec-5ad6-920c-84d03647a5c9,2024-08-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 7131, ""shipment"": 11186}","{""SUPPLIES"": 2400, ""USED_IN"": 7085, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 26, ""shortage_pos"": 119, ""impact_pos"": 12}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,29.18,2025-10-02 09:03:31+00
15665409-4d5c-58b3-b74c-b6e10393c8ef,2024-09-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 7973, ""shipment"": 12471}","{""SUPPLIES"": 2400, ""USED_IN"": 7086, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 55, ""shortage_pos"": 206, ""impact_pos"": 14}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,45.21,2025-10-02 09:14:09+00
0554616f-7c0f-505b-9935-e48b4f3d5f79,2024-10-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 11168, ""shipment"": 16325}","{""SUPPLIES"": 2400, ""USED_IN"": 7087, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 248, ""shortage_pos"": 459, ""impact_pos"": 28}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,45.12,2025-10-02 09:13:06+00
751bfdea-ef72-5e6e-a54a-e6a7c4492175,2024-11-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 14507, ""shipment"": 19959}","{""SUPPLIES"": 2400, ""USED_IN"": 7087, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 194, ""shortage_pos"": 383, ""impact_pos"": 28}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,35.26,2025-10-02 09:12:19+00
c45621d2-36f0-5f31-bd69-0e8a6c1bdc81,2024-12-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 16447, ""shipment"": 22331}","{""SUPPLIES"": 2400, ""USED_IN"": 7088, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 74, ""shortage_pos"": 216, ""impact_pos"": 25}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,55.42,2025-10-02 09:05:33+00
3bb43123-fb19-5016-bc45-4495cb221531,2025-01-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 17303, ""shipment"": 23807}","{""SUPPLIES"": 2400, ""USED_IN"": 7088, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 27, ""shortage_pos"": 119, ""impact_pos"": 11}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,38.92,2025-10-02 09:10:13+00
17c1bd6e-bbc2-5424-8814-fdb76f3eb6eb,2025-02-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 18120, ""shipment"": 25112}","{""SUPPLIES"": 2400, ""USED_IN"": 7089, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 43, ""shortage_pos"": 139, ""impact_pos"": 20}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,27.46,2025-10-02 09:03:25+00
f1a61a9f-bb15-5de4-96de-921898eac744,2025-03-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 18917, ""shipment"": 26352}","{""SUPPLIES"": 2400, ""USED_IN"": 7089, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 34, ""shortage_pos"": 145, ""impact_pos"": 14}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,41.5,2025-10-02 09:02:35+00
153f79ea-cee4-5fa0-9d5f-29dd6e0bd39a,2025-04-01 08:00:00+00,14,"{""supplier"": 800, ""component"": 2400, ""product"": 1280, ""factory"": 5, ""warehouse"": 8, ""customer"": 1600, ""inventory"": 3194, ""order"": 20948, ""shipment"": 28990}","{""SUPPLIES"": 2400, ""USED_IN"": 7090, ""MANUFACTURED_AT"": 1933, ""HAS_INVENTORY"": 3194}","{""delay_pos"": 50, ""shortage_pos"": 179, ""impact_pos"": 18}",v1,a3f9c2e8b1d4470a9e6c5f2b8d7a1c3e5f9b2d40,51.37,2025-10-02 09:02:30+00
