id,order_id,product_id,quantity,created_at
7fa34af9-eda8-5450-b5f7-361b85c47d00,be0000b5-335e-532f-9f40-75d0225fd948,04822159-7c4e-55bc-8405-cc6cc8d42cb5,24,2024-03-03 14:41:32+00
83af4821-3ffd-5a3a-a205-6ce5eb3643fd,be0000b5-335e-532f-9f40-75d0225fd948,d14cae1e-340b-5d73-bd7d-4a027d2543cb,29,2024-03-03 14:41:32+00
da595dc9-4454-5e15-9b74-4d16948d2152,be0000b5-335e-532f-9f40-75d0225fd948,b1fa955b-dd30-5f5e-b1fe-5117b66ea22c,31,2024-03-03 14:41:32+00
8ed59257-571c-5674-a6e8-0c096a70d991,e17c554d-63f3-5bd1-b043-5f06a240ff22,94388e12-1b8a-57cd-9df9-963d94aebd2f,148,2024-05-02 20:34:28+00
3d047824-5dcf-5caa-bbdf-38c6fe58a2ad,22f6a829-5117-5f9a-aeff-d1f197e49dad,1c2ac94e-7467-54bc-b3c7-916fd1253887,20,2025-03-30 20:34:51+00
28285675-14ea-5dbe-819d-f5e175e01121,4c3001d4-a99c-5ec6-aa8a-91b8ed1895e9,53ef8e88-85a9-54fd-8563-b1356f3ea30b,51,2024-09-11 16:15:13+00
5a84e47f-0835-5641-97c5-6dcef42a9ca0,4c3001d4-a99c-5ec6-aa8a-91b8ed1895e9,9122b95f-3741-54e9-9931-c651bddb05ed,7,2024-09-11 16:15:13+00
7582e38a-d83b-5d4b-8d0c-d7ef3dc97d94,eb228a30-2a14-57a1-87b7-cdfd30a631d4,52dbd7d2-e940-58d3-b2b0-53bb518f54e2,7,2024-10-09 17:27:38+00
5750539b-d2e7-52be-9487-b33b562e3565,eb228a30-2a14-57a1-87b7-cdfd30a631d4,cd942859-6c7c-5abb-bee0-02117d410ed5,7,2024-10-09 17:27:38+00
a2e4ab3c-2110-51f4-b883-450ffc2d0a45,eb228a30-2a14-57a1-87b7-cdfd30a631d4,eb947a11-72d1-5301-bb90-fbd7ef93b9e6,43,2024-10-09 17:27:38+00
f93b1ba5-3900-5358-a6df-4f3972aed678,eb228a30-2a14-57a1-87b7-cdfd30a631d4,f5bd8c17-daf5-5317-8a13-c88cb73b0cfb,38,2024-10-09 17:27:38+00
c3608366-b463-5f44-a1f1-12aba72520d7,8cc54e90-d6dc-536c-960a-f855d27beef5,be57e811-e5ac-51e3-abbf-4c128b409f7c,47,2024-06-15 20:16:17+00
f312f973-77d9-5d21-8b02-e1994bd16774,8cc54e90-d6dc-536c-960a-f855d27beef5,9110b3cc-65ed-5109-8f79-8a67457f6419,8,2024-06-15 20:16:17+00
4dabb768-436e-50be-be9d-36a0079462c8,8cc54e90-d6dc-536c-960a-f855d27beef5,455a906f-ae16-51db-b31e-564383ebbb6d,46,2024-06-15 20:16:17+00
9b6dfb5d-17ae-5651-9dc0-692188a25306,96c97944-8493-5424-9ec2-5b3908878804,83e06762-4e27-5377-a4a8-efaa10b55743,36,2024-11-21 13:35:53+00
d7ac55df-08b1-5add-bbd3-f61a66501cba,96c97944-8493-5424-9ec2-5b3908878804,ad7c3687-1694-553c-aff2-ec7c9e7f26fd,26,2024-11-21 13:35:53+00
58a31c64-736a-584f-8feb-b6fc2fb15b1f,96c97944-8493-5424-9ec2-5b3908878804,22a43c3a-7099-5481-b8db-16cd07789443,12,2024-11-21 13:35:53+00
1a0b8a67-c64d-5676-91a8-1d191c593947,96c97944-8493-5424-9ec2-5b3908878804,c0fde5fa-d543-58f8-bb02-9767f0664785,52,2024-11-21 13:35:53+00
9439ac4a-65cf-5898-9cf8-67c4cd9984d4,c0286eb0-c752-59d4-b6b2-d464280657f8,f3c9e6db-5001-5325-b688-27d1d3fc04c1,11,2024-05-19 19:36:41+00
62be4c63-eef3-56a6-aeef-6528ddaa1dd6,c0286eb0-c752-59d4-b6b2-d464280657f8,16f69b85-8f48-5d53-933c-461adebfad8c,10,2024-05-19 19:36:41+00
69eaad8d-ffa6-5134-b589-030f0e9d6542,c0286eb0-c752-59d4-b6b2-d464280657f8,da739a89-9db8-5f81-85bc-1551e9824358,50,2024-05-19 19:36:41+00
048a2c9f-484f-5054-b5d0-dd602e4cfdef,def79673-74dd-5c1d-a83a-3e4f5f59f31e,cc8e87e6-3617-5992-8649-2b6d387b77bd,25,2024-11-01 17:21:04+00
6dc2532a-1223-51f1-be56-ef620e26dc1f,def79673-74dd-5c1d-a83a-3e4f5f59f31e,88b8b764-4f68-551c-a8bc-456f19524a17,35,2024-11-01 17:21:04+00
60d97f47-4ac6-5473-aa5e-300f1a27bc0c,def79673-74dd-5c1d-a83a-3e4f5f59f31e,0250ede2-d8ba-5bb0-b919-d66d27408f5b,20,2024-11-01 17:21:04+00
bdb92442-7b8b-52ef-b249-7b1ba76153cc,def79673-74dd-5c1d-a83a-3e4f5f59f31e,54abc3c2-bf26-55ba-8a58-c69096088c39,47,2024-11-01 17:21:04+00
9c6209b4-aa82-51b7-a95f-8c9e60c4cbd2,dcc15fed-39a6-5002-bfe8-8ac5b00fd9f1,680e5f16-0c14-5e1e-a810-3c7b35f56d2a,16,2024-02-18 22:27:25+00
b650f11b-4e80-5cfd-a360-bf1e05932758,dcc15fed-39a6-5002-bfe8-8ac5b00fd9f1,567ba173-d6c8-5775-9f56-f5bb2c5b7e80,10,2024-02-18 22:27:25+00
08ad1547-d206-5619-bda0-594809987613,dcc15fed-39a6-5002-bfe8-8ac5b00fd9f1,b14d05be-3190-5791-bb97-4f66e838e3ad,14,2024-02-18 22:27:25+00
31c1aae1-a3a1-54bf-be96-e793bf8a8d1c,dcc15fed-39a6-5002-bfe8-8ac5b00fd9f1,d7b81605-74ac-5a05-af81-4604223677fb,46,2024-02-18 22:27:25+00
1a7b6306-f6b0-574d-8d6b-99491999763e,9d7c77c3-d842-5f75-89dd-9b50b1f18b0c,979a10a1-5600-5772-a7b7-ec91483ba7d9,49,2025-04-24 21:40:48+00
3f0cb385-27cb-576b-9cb4-aeb4ebba8325,35dd74f5-093c-58b7-8210-f311dd391aa2,53a6ee05-e5aa-5cfa-9779-c36cfcbc63bc,60,2024-04-29 00:26:30+00
078ce123-c8d5-51a3-a02f-30e0f6c64cb7,35dd74f5-093c-58b7-8210-f311dd391aa2,e63bf3d2-d729-54ef-a154-33c98a628833,57,2024-04-29 00:26:30+00
aac6145f-5a89-5fb2-a810-afe19d50aea9,35dd74f5-093c-58b7-8210-f311dd391aa2,fd7a251d-ee2b-5db3-95cf-d16966c93e8a,16,2024-04-29 00:26:30+00
efddd92a-ba4a-5ac5-88be-aa033f4b8d74,35dd74f5-093c-58b7-8210-f311dd391aa2,6468c2c9-895d-571a-b3da-29cef5b5f5ea,60,2024-04-29 00:26:30+00
ea6b2ebd-1b44-5d59-9ebe-ad76ee1b002a,bb98f3fb-ab3a-5dad-8025-e094f73f8f49,9096801a-a6fd-5ca3-a667-34759b5adb9e,42,2024-01-18 23:29:24+00
517b507d-5306-5f1a-b4fd-610a492a2c59,bb98f3fb-ab3a-5dad-8025-e094f73f8f49,c0fde5fa-d543-58f8-bb02-9767f0664785,17,2024-01-18 23:29:24+00
8b3ad781-1eb7-5e73-8a5d-345a54eea456,31528371-ed59-5e61-8444-2458efc5e044,f1ee5baa-6f6f-5918-b753-c275aa202ced,47,2024-09-17 17:27:51+00
bc760a35-9519-592e-a3d1-04c39cb55de1,31528371-ed59-5e61-8444-2458efc5e044,15c67517-d5ac-5306-8717-84371f07c7fc,39,2024-09-17 17:27:51+00
bfbb3f73-6779-5372-b2c5-bac30a257c5a,31528371-ed59-5e61-8444-2458efc5e044,cbfdd3c9-d84c-59b3-a687-0178521199de,25,2024-09-17 17:27:51+00
