id,product_id,component_id,quantity_required,created_at,deactivated_at
e7ecfdac-a366-5ba4-a3f5-8394c50ca024,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,9f704fee-a838-5065-8646-a444247df7fa,3,2024-01-01 08:00:00+00,2024-02-12 08:00:00+00
7dd6d0a3-2ec3-58f1-ab36-3aa7cf27293d,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,802d3b19-1120-5780-81a5-314033db94d5,5,2024-01-01 08:00:00+00,
47b24636-6fe6-56cd-a03b-13b0456d7724,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,a291580c-4d59-5ea1-aa59-9a3b6341c23a,2,2024-01-01 08:00:00+00,
b23df1be-004a-5634-ac4a-be9526276703,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,2893c664-a888-52e3-b372-8b379d9f6d8b,2,2024-01-01 08:00:00+00,
01b5f9ea-a9e5-5329-8c3a-d4652ffafef2,dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,446cca11-1c51-5289-9423-c9eb1ea4a694,1,2024-01-01 08:00:00+00,
b4576922-631c-58a4-9e3a-c4a396c56c1e,dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,92341eb6-025b-54ea-bd6c-3f0a29b3ed6b,2,2024-01-01 08:00:00+00,
b08656b4-730a-5b2d-957b-98a725e90fcd,dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,753dcfd4-e705-5eea-b1b4-4a710e487d89,1,2024-01-01 08:00:00+00,
4f20819c-d97d-5461-81ac-2dfc9d764dfb,5abd18e8-de32-5af1-b593-d3190e9164a5,a7e0d126-17ff-5f20-b25c-59512ca53250,6,2024-01-01 08:00:00+00,
00d92af5-4161-5854-9c28-56ea0883968b,5abd18e8-de32-5af1-b593-d3190e9164a5,18a712eb-50c2-58f0-ab2a-e4ed1aee7344,6,2024-01-01 08:00:00+00,
59d212ea-ea7a-5c1b-9f69-401d276df54a,5abd18e8-de32-5af1-b593-d3190e9164a5,11e28802-1e8d-5686-b816-674c8cdd94f5,4,2024-01-01 08:00:00+00,
43c96468-453a-53f3-8f47-93572314d690,5abd18e8-de32-5af1-b593-d3190e9164a5,91647c6e-bcc9-5bc2-9f4d-c6ef547378ee,5,2024-01-01 08:00:00+00,
a9ece439-ef29-506e-abea-6f2b149c9fa3,5abd18e8-de32-5af1-b593-d3190e9164a5,3f489ec6-ff42-591e-8d03-8da3f1264c93,3,2024-01-01 08:00:00+00,
794466cd-b206-51d5-90cb-d5dba7ebdd04,5abd18e8-de32-5af1-b593-d3190e9164a5,d024c262-2b32-558b-bb6c-4185da7b9a65,3,2024-01-01 08:00:00+00,
077ee45a-6823-572a-850a-28bfc007c5b9,98f9ed1d-3d10-5a68-a387-66981e9dde59,d4c86363-a0e1-5cf5-92dc-55d970b64312,4,2024-01-01 08:00:00+00,
8d200adb-b05f-57d3-b6e6-b0eb3bb4aa38,98f9ed1d-3d10-5a68-a387-66981e9dde59,3e62c312-ab4a-5a84-ada8-84dbff4b14e9,5,2024-01-01 08:00:00+00,
b19eac08-4385-515f-8b98-494082c3edd5,98f9ed1d-3d10-5a68-a387-66981e9dde59,d8ef1880-03b2-57d7-8a75-008da4ad98a2,2,2024-01-01 08:00:00+00,
a2f607dd-6192-50e6-9d45-aad521a8625e,98f9ed1d-3d10-5a68-a387-66981e9dde59,90c3d868-0202-569a-95d1-91bf94e8fd25,1,2024-01-01 08:00:00+00,
ef62cc97-2199-5290-886f-ecda053b05e3,98f9ed1d-3d10-5a68-a387-66981e9dde59,b48edceb-25cc-5ea1-a7cc-8b4b45606761,6,2024-01-01 08:00:00+00,
ded37123-669f-5385-a008-4437627c683f,b8b98483-157a-5ddb-81bf-f65f95613caa,4a0b0d71-8696-52c0-8d5d-4715eadd6a4b,2,2024-01-01 08:00:00+00,
7c6056bc-b94a-5416-a85d-c5368f8633b9,b8b98483-157a-5ddb-81bf-f65f95613caa,a7e0d126-17ff-5f20-b25c-59512ca53250,5,2024-01-01 08:00:00+00,
7ab2730a-fe13-5d4c-8568-fc02e0dadcca,b8b98483-157a-5ddb-81bf-f65f95613caa,d1e70378-59df-56a9-aa18-fee75d0a146d,3,2024-01-01 08:00:00+00,
0ff43595-7dc5-5f2f-a3a7-c6d537eeb4ff,b8b98483-157a-5ddb-81bf-f65f95613caa,446cca11-1c51-5289-9423-c9eb1ea4a694,3,2024-01-01 08:00:00+00,
876ec908-cb03-5246-b66f-9dfd0147ec19,b8b98483-157a-5ddb-81bf-f65f95613caa,f78dbb4b-750d-597d-a0f0-a23b6989356c,4,2024-01-01 08:00:00+00,
67b8667f-23df-5e53-9af8-60cd2cb4ac25,b8b98483-157a-5ddb-81bf-f65f95613caa,ff04dcb6-b973-50a9-bb2b-815213f13871,2,2024-01-01 08:00:00+00,
8dbb6f07-9666-5871-a922-4b1c0b289526,ebdcc5e9-63c3-5a52-9521-f031c6154feb,a7e0d126-17ff-5f20-b25c-59512ca53250,3,2024-01-01 08:00:00+00,
7c77f73d-5491-5934-8667-1873c6930b56,ebdcc5e9-63c3-5a52-9521-f031c6154feb,51dcf263-a059-5549-8eaf-0d741dd9433b,5,2024-01-01 08:00:00+00,
