id,snapshot_id,entity_type,entity_id,task,label,event_at,label_source,warehouse_id
1b982fc8-e0ba-56ae-a8a5-6f5273d8d7bb,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,8ff068c2-9897-51ff-b581-79f29e47adce,delay,false,,shipment_status_history,
c6525eee-84e4-5e80-b2bb-79e2811645fd,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,34ac0d2b-0568-5316-b48a-3550d3e145b4,delay,false,,shipment_status_history,
962b3a31-b62b-5a43-9fa7-7a0aad1f29ff,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,91ab7561-8f0c-5140-91a0-820ddd5b92ec,delay,true,2024-07-11 04:20:01+00,shipment_status_history,
b3405cef-073e-53b3-a489-8525e73f38ef,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,b5d402d2-f046-5ce1-9591-56608149010d,delay,false,,shipment_status_history,
1ff1b38f-869d-578f-a0a8-6d4885808d19,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,377e0a40-249a-502c-a9fc-f20e91dc9f7f,delay,false,,shipment_status_history,
97c3c4b8-3d5c-5221-91f7-c40ecb9be1ad,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,e660d0f1-ac58-526d-953b-76b3f3a96941,delay,false,,shipment_status_history,
b8c605e5-f93d-52b8-9637-1596c6601da8,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,fa4bc3f5-8a99-528c-bf65-84cc88c4aa0e,delay,false,,shipment_status_history,
a4e4c0c5-ffb9-52d2-a80b-3d2748ed931c,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,8d65461f-2cd8-5a34-98fd-5fb6090df055,delay,false,,shipment_status_history,
9b1b5443-552e-5170-83dd-fc82c2c2d2cd,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,827d80d7-c82b-5a31-88d6-a701c30174d2,delay,true,2024-07-07 11:31:24+00,shipment_status_history,
0bed6347-c5b7-585f-bc13-807de1062711,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,140f7186-24d8-59fa-a31e-a456faed1abd,delay,true,2024-07-12 06:41:23+00,shipment_status_history,
4c2bbd5f-689d-53dc-ac33-90343e7b192d,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,adbba100-0e31-59f1-bf06-2e3b26f94968,delay,false,,shipment_status_history,
ba98c5f3-5277-5f4a-992f-6c039ed6336a,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,a8db7d07-9de9-568d-819f-27e8bf64c94c,delay,false,,shipment_status_history,
c581f6e3-88b9-5455-8636-5ed5d41f9446,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,0925fc3c-4dee-5b7d-94d9-0ed6e0c21560,delay,false,,shipment_status_history,
73fb8d4b-a580-5fb2-b712-97f06450673c,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,553b0728-8999-50ce-be0f-f7c07cf67e10,delay,false,,shipment_status_history,
f165d2da-53f3-501b-883b-16e5bbe82131,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,460fef86-596c-50e6-be1d-2092bdffcbba,delay,false,,shipment_status_history,
67f638d1-a092-595c-beb9-7d05d2599b75,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,6f9264fe-e639-57a1-8031-5a462534d16f,delay,false,,shipment_status_history,
37897303-3c49-5bb2-902f-df05c9d51802,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,be80e8eb-e821-5139-97f3-372a94b0928c,delay,false,,shipment_status_history,
fccaf371-8979-5931-b9c0-4349cade14b6,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,0e2c3633-4b89-5a16-90d7-389ea91ee16d,delay,false,,shipment_status_history,
02953c0f-eb43-577c-bd9c-3e5c1a702c9d,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,ac3d6a0a-2fc2-55a7-bcf7-0b605951f8fd,delay,false,,shipment_status_history,
cd5f4f5e-3ba6-57a2-aa68-5c4d57830a88,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,de5e3d4a-fc56-574f-8abd-d381ec225a6c,delay,false,,shipment_status_history,
1e638a51-5617-55f1-9b5d-54d0f5107bc9,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,1e405a26-41c2-544c-a7b8-5476a3bb644f,delay,false,,shipment_status_history,
bad87a12-0bbd-5662-b63b-c0aa2bde016d,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,8a629660-f584-5dcb-b97e-f8749eab4ae4,delay,false,,shipment_status_history,
e9aa7d63-3e6f-5446-bbb5-926879c17dee,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,a6124e84-953e-5ad7-b1d4-3e3f7006219a,delay,false,,shipment_status_history,
4d9d06e0-b8e7-53fe-925b-4c97c90bcbe5,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,e86715a5-f2f7-5b75-ad0f-2848a659a761,delay,false,,shipment_status_history,
ca5728ee-d0a8-5a47-bef1-f0e4e3e2ee33,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,5a4a3e13-cb37-5169-839c-2bc147332efe,delay,false,,shipment_status_history,
b1a39114-8b1f-5e29-bd07-c0f5aa44a123,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,85484285-498c-5eb7-a5e5-cb56a349b422,delay,false,,shipment_status_history,
0ee94522-a4a4-5c05-a3fc-bceb310ff565,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,5c974b86-9c45-51ff-b832-1e9660313b44,delay,false,,shipment_status_history,
b964c8b2-aca2-51c6-aa63-09b99b1ed560,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,a3e27737-2f22-5af3-8504-b3b7c0db0b2a,delay,false,,shipment_status_history,
c991dd2e-2603-514c-b722-e8a4362cc7c6,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,1409ab9b-675d-58b5-8df9-1d7f458b648e,delay,false,,shipment_status_history,
0306a304-d585-518d-b5bc-f6850b480e69,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,0f7e918d-37c2-5c68-94fc-182248827c44,delay,false,,shipment_status_history,
7a4e000b-8bf8-5842-9ce6-15b71a03cb2c,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,c77c427e-6178-5718-a86d-29fcdd7a6d64,delay,false,,shipment_status_history,
33909f87-4666-508c-846d-760baa4e1300,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,2aed8c03-989d-5b33-a1b0-33c5c28af0ca,delay,false,,shipment_status_history,
772f46da-89fb-504f-90b9-db77d53a6da8,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,70fb286e-6b98-5f20-8908-f660de0f53d9,delay,false,,shipment_status_history,
e4562997-71db-5fe9-93a7-163212b4b1d7,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,bd35c8c8-93c8-5b38-82b5-2e808dac7c4a,delay,false,,shipment_status_history,
160d9f82-5cc0-54dc-bc34-cc0c380c8f77,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,6fa33eca-8402-5056-82a6-7ddf3bb3bffe,delay,false,,shipment_status_history,
333d995d-06c3-5add-8955-9197328f4d87,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,1355b1e5-6581-53e4-bb16-45319c684c60,delay,false,,shipment_status_history,
fcbdb1da-66e6-53f5-8ab7-9d8d45f3a57c,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,9ff1d389-b40f-5031-952e-d5ccc99a4011,delay,false,,shipment_status_history,
4df1d822-bbb1-5165-97df-c37c0bee0544,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,9dfd4212-7cd6-57d8-a1bf-f2764911f576,delay,false,,shipment_status_history,
d02d5497-09d7-52aa-8720-8469334450f9,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,bfb13b58-5e1d-5a23-8fd4-3522d12ba313,delay,false,,shipment_status_history,
dfd2686b-3253-599f-ae19-e3ab7f31cee7,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,822894ad-4a32-59a5-a579-65e038fa7dc8,delay,false,,shipment_status_history,
950cf769-06ed-5f09-99ab-d1eeaf6b5dc8,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,3f07caa5-798f-5aad-8a61-950bfa768709,delay,false,,shipment_status_history,
ea020b4b-37e6-5e70-b6b4-8943e5c58f13,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,1c08a8fc-e5c0-524a-850f-165c039b7e4e,delay,false,,shipment_status_history,
35a7d786-4a80-50b6-b4df-34f0799cdd0e,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,ad366ccb-7bd9-5d13-a066-b407516bbf3f,delay,false,,shipment_status_history,
7a22a755-b689-566f-87b8-fe85f09a48ff,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,bb07670f-1a1e-5d1b-8b6c-1a9f48c6be70,delay,false,,shipment_status_history,
01b762ad-d88e-5b87-8012-0c033da7e8aa,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,018f62c8-223f-560d-b915-f4cc42401be7,delay,false,,shipment_status_history,
32037773-8937-5230-a240-1bea18fd8e11,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,cf6cbc47-ce08-57c6-baca-70430f827ee7,delay,false,,shipment_status_history,
49ece544-f31a-5410-859b-fca3f2837ba8,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,517679e2-8612-5cbd-8380-867f4060f625,delay,false,,shipment_status_history,
dfd36d1f-fb13-5ae6-86af-64658c48efb7,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,88691f05-c52d-5423-a94e-a1497b589317,delay,false,,shipment_status_history,
1c7b1a39-484c-5c63-a3cc-86297fe784e2,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,55e628ee-279b-51c6-bc09-6d3ea1ba448a,delay,false,,shipment_status_history,
7b984f8b-2853-5d02-9a09-59515485c481,cf849c78-db2c-52d2-94b9-b287fa74f1d4,shipment,d367678a-730c-59a4-b8fa-e4ad2150d4f1,delay,false,,shipment_status_history,
